ID,ZIP,CITY,STATE,LAT,LONG
8906,21241,"BALTIMORE",MD,39.3,-76.61
8907,21244,"WINDSOR MILL",MD,39.33,-76.78
8908,21250,"BALTIMORE",MD,39.3,-76.61
8909,21251,"BALTIMORE",MD,39.3,-76.61
8910,21252,"TOWSON",MD,39.3,-76.61
8911,21260,"BALTIMORE",MD,39.35,-76.7
8912,21261,"BALTIMORE",MD,39.3,-76.45
8913,21263,"BALTIMORE",MD,39.3,-76.61
8914,21264,"BALTIMORE",MD,39.3,-76.61
8915,21265,"BALTIMORE",MD,39.29,-76.6
8916,21268,"BALTIMORE",MD,39.21,-76.72
8917,21270,"BALTIMORE",MD,39.3,-76.61
8918,21273,"BALTIMORE",MD,39.3,-76.61
8919,21274,"BALTIMORE",MD,39.29,-76.6
8920,21275,"BALTIMORE",MD,39.3,-76.61
8921,21278,"BALTIMORE",MD,39.3,-76.61
8922,21279,"BALTIMORE",MD,39.3,-76.61
8923,21280,"BALTIMORE",MD,39.3,-76.61
8924,21281,"BALTIMORE",MD,39.3,-76.61
8925,21282,"BALTIMORE",MD,39.3,-76.61
8926,21283,"BALTIMORE",MD,39.29,-76.61
8927,21284,"BALTIMORE",MD,39.3,-76.61
8928,21285,"BALTIMORE",MD,39.3,-76.61
8929,21286,"TOWSON",MD,39.39,-76.62
8930,21287,"BALTIMORE",MD,39.3,-76.61
8931,21288,"BALTIMORE",MD,39.3,-76.61
8932,21289,"BALTIMORE",MD,39.3,-76.61
8933,21290,"BALTIMORE",MD,39.3,-76.61
8934,21297,"BALTIMORE",MD,39.3,-76.61
8935,21298,"BALTIMORE",MD,39.3,-76.61
8936,21401,"ANNAPOLIS",MD,38.97,-76.5
8937,21402,"ANNAPOLIS",MD,38.97,-76.5
8938,21403,"ANNAPOLIS",MD,38.97,-76.5
8939,21404,"ANNAPOLIS",MD,38.97,-76.5
8940,21405,"ANNAPOLIS",MD,38.97,-76.5
8941,21409,"ANNAPOLIS",MD,39.02,-76.45
8942,21411,"ANNAPOLIS",MD,38.97,-76.5
8943,21412,"ANNAPOLIS",MD,38.97,-76.5
8944,21501,"CUMBERLAND",MD,39.65,-78.76
8945,21502,"CUMBERLAND",MD,39.65,-78.76
8946,21503,"CUMBERLAND",MD,39.65,-78.76
8947,21504,"CUMBERLAND",MD,39.65,-78.76
8948,21505,"CUMBERLAND",MD,39.65,-78.76
8949,21520,"ACCIDENT",MD,39.62,-79.32
8950,21521,"BARTON",MD,39.53,-79.01
8951,21522,"BITTINGER",MD,39.58,-79.2
8952,21523,"BLOOMINGTON",MD,39.5,-79.11
8953,21524,"CORRIGANVILLE",MD,39.69,-78.79
8954,21528,"ECKHART MINES",MD,39.64,-78.87
8955,21529,"ELLERSLIE",MD,39.72,-78.77
8956,21530,"FLINTSTONE",MD,39.7,-78.56
8957,21531,"FRIENDSVILLE",MD,39.66,-79.4
8958,21532,"FROSTBURG",MD,39.66,-78.92
8959,21536,"GRANTSVILLE",MD,39.69,-79.15
8960,21538,"KITZMILLER",MD,39.38,-79.18
8961,21539,"LONACONING",MD,39.56,-78.97
8962,21540,"LUKE",MD,39.47,-79.06
8963,21541,"MC HENRY",MD,39.55,-79.35
8964,21542,"MIDLAND",MD,39.58,-78.94
